Class names: 1 2 3 
Training Data:
samples_0 3 2 4 0 1 55 50 152 603 294 171.77 1.64 25 10 
samples_1 3 1 1 0 1 100 100 4 17 8 956.27 2.25 23 100 
samples_2 3 5 12 0 1 82 41 72 486 113 866.37 3.52 14 100 
samples_3 3 4 6 0 1 77.50 66 51 176 66 156.94 2.50 28 100 
samples_4 3 3 5 0 1 70 60 24 192 39 1460.79 5.87 12 100 
samples_5 3 7 15 0 1.14 87.14 46 12 69 14 78.70 5.16 17 100 
samples_6 2 6 14 0 1.16 85 42 18 121 20 91.57 6.16 14 100 
samples_7 2 13 28 0.04 1.61 93.07 46 4 14 6 0.53 2.25 28 100 
samples_8 2 8 18 0 1.37 88.75 44 22 144 34 227.95 3.68 15 100 
samples_9 2 10 21 0 1.40 91 47 31 76 36 1447.69 2.29 40 100 
samples_10 2 12 26 0.04 1.58 92.50 46 17 118 25 447.47 3.82 14 100 
samples_11 3 9 19 0 1.33 90 47 67 283 87 807.34 3.28 23 100 
samples_12 2 11 24 0.04 1.54 91.81 45 33 104 44 37.81 2.24 31 100 
samples_13 3 15 30 0.03 1.53 90.66 50 29 175 43 1093.98 4 16 100 
samples_14 3 14 29 0.03 1.57 90 48 165 591 213 132.98 2.66 27 50 
samples_15 3 16 31 0.03 1.50 91.25 51 3 10 4 0.07 1.66 30 100 
samples_16 3 1 1 0 1 10 100 152 603 294 171.77 1.64 25 10 
samples_17 3 3 4 0 1 70 75 2 82 21 2235.26 14 2 100 
samples_18 3 4 5 0 1 77.50 80 6 138 26 1874.38 7.66 4 100 
samples_19 3 5 6 0 1 82 83 45 264 77 195.81 3.44 17 100 
samples_20 3 6 7 0 1 85 85 2 18 3 358.88 8.50 11 100 
samples_21 3 7 8 0 1 87.14 87 2 4 4 0 1 50 100 
samples_22 3 8 9 0 1 88.75 88 9 101 21 2213.82 7.66 8 100 
samples_23 3 9 10 0 1 90 90 72 277 84 39.80 3.05 25 100 
samples_24 3 10 11 0 1 91 90 4 35 8 0.06 1.25 11 100 
